links,names,ratings,price for one,cuisine,images,address,timing,contact
https://www.zomato.com/visakhapatnam/harbour-vue-hotel-novotel-maharani-peta-vizag/info,Harbour Vue - Hotel Novotel,4.2,"₹2,400 for two","Bar Food, North Indian, Seafood, Beverages",https://b.zmtcdn.com/data/pictures/6/2800796/72002d4d2e642babffce7cac2f1a3eb6_featured_v2.jpg,"Maharani Peta, Vizag",,+917799884043
https://www.zomato.com/visakhapatnam/royal-spice-gadiraju-palace-mvp-colony-vizag/info,Royal Spice - Gadiraju Palace,4.3,"₹1,200 for two","North Indian, Mughlai, Chinese, Biryani, Sandwich, Fast Food",https://b.zmtcdn.com/data/pictures/6/20144706/e2dbdc3d51def808a264960352f5ba6e_featured_v2.jpg,"MVP Colony, Vizag",Opens at 7pm,+917799933799
https://www.zomato.com/visakhapatnam/kamat-restaurant-lawsons-bay-vizag/info,Kamat Restaurant,4.0,₹800 for two,"Andhra, North Indian, Chinese, Biryani, Seafood, Beverages, Desserts",https://b.zmtcdn.com/data/pictures/chains/6/2800096/2d6be884172e059e518020b7cd54d97c_featured_v2.jpg,"Lawsons Bay, Vizag",,+916305510743
https://www.zomato.com/visakhapatnam/horizon-dolphin-hotel-allipuram-vizag/info,Horizon - Dolphin Hotel,3.9,"₹3,500 for two","North Indian, Chinese, Italian, Biryani, Mughlai, Seafood, Beverages, Desserts",https://b.zmtcdn.com/data/pictures/3/19903263/93626cd9275c0ea74e897e3c3b7e8b65_featured_v2.jpg,"Allipuram, Vizag",Opens at 7pm,+919347693116
https://www.zomato.com/visakhapatnam/woodhouse-dolphin-hotel-jagadamba-junction-vizag/info,Woodhouse - Dolphin Hotel,4.2,"₹1,400 for two","Chinese, North Indian, Biryani",https://b.zmtcdn.com/data/pictures/1/19418051/36253878e3c44e126c5ef0f9f4cad818_featured_v2.jpg,"Jagadamba Junction, Vizag",Opens at 7pm,+919347693116
https://www.zomato.com/visakhapatnam/aqua-the-park-lawsons-bay/info,Aqua - The Park,4.3,"₹1,500 for two",Italian,https://b.zmtcdn.com/data/pictures/1/2800041/68a056f432f4d3bf58f854b852c225d8_featured_v2.jpg,"Lawsons Bay, Vizag",,+918916825678
https://www.zomato.com/visakhapatnam/masalah-mafia-palm-beach-hotel-kirlampudi-layout-vizag/info,Masalah Mafia - Palm Beach Hotel,4.0,"₹1,500 for two","Chinese, North Indian, Continental",https://b.zmtcdn.com/data/pictures/7/2800177/ece09f95b917c2770a7f479feda3b19b_featured_v2.jpg,"Kirlampudi Layout, Vizag",Opens at 7:30pm,+918912754027
https://www.zomato.com/visakhapatnam/cascades-dolphin-hotel-jagadamba-junction-vizag/info,Cascades - Dolphin Hotel,3.6,"₹1,000 for two","North Indian, Continental, Chinese, South Indian, Andhra, Kebab, Biryani, Desserts",https://b.zmtcdn.com/data/pictures/9/2800079/e00468b1ffe3e39ca271f00d37a5c782_featured_v2.jpg,"Jagadamba Junction, Vizag",Opens at 7pm,+918916666677
https://www.zomato.com/visakhapatnam/v-hotel-olive-dwaraka-nagar-vizag/info,V Hotel Olive,4.3,"₹1,300 for two","South Indian, North Indian, Chinese, Thai, Seafood, Biryani, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/chains/7/18377597/d22156fcfcbbbd9be2015d1a7dcc5ad0_featured_v2.jpg,"Dwaraka Nagar, Vizag",Opens at 7pm,+917337331110
https://www.zomato.com/visakhapatnam/burger-king-maddilapalem-vizag/info,Burger King,4.0,₹350 for two,"Burger, Fast Food",https://b.zmtcdn.com/data/pictures/chains/2/19082182/ca95a5e2f62783c97ce051fae26d7870_featured_v2.jpg,"Maddilapalem, Vizag",,+918790694322
